序号,标题,分类路径,主要描述,网址
"116","APP Center","Application Guide > App Center > APP Center","In the UGOS Pro system, the ""App Center"" provides a wide range of software applications to help you extend the functionality of your NAS. You can install and manage apps from the App Center at any tim...","https://support.ugnas.com/#/detail/eyJjb2RlIjogIjImJjExNiIsICJjbGllbnRUeXBlIjogIiJ9"
"376","Cloud Drives","Application Guide > Cloud Drives > Cloud Drives","""Cloud Drives"" is a cross-platform file management application provided by UGREEN NAS. It supports uploading, downloading, and synchronizing files between the NAS's internal storage and various third-...","https://support.ugnas.com/#/detail/eyJjb2RlIjogIjImJjM3NiIsICJjbGllbnRUeXBlIjogIiJ9"
"861","How to Mount an Amazon S3 Bucket?","Application Guide > Cloud Drives > How to Mount an Amazon S3 Bucket?","ApplicabilityApplicable client: UGREEN NAS desktop client (Windows/macOS)Applicable version: NAS firmware 1.16.0.0042 and laterThis document is for reference only. The actual interface and operation p...","https://support.ugnas.com/#/detail/eyJjb2RlIjogIjImJjg2MSIsICJjbGllbnRUeXBlIjogIiJ9"
"799","How to Restore Files Accidentally Deleted in Cloud Drive Sync Tasks Via the NAS Recycle Bin?","Application Guide > Cloud Drives > How to Restore Files Accidentally Deleted in Cloud Drive Sync Tasks Via the NAS Recycle Bin?","When users operate an added cloud drive in the ""Cloud Drives"" application and accidentally delete files within folders associated with a sync task, the NAS Recycle Bin supports restoring those files.F...","https://support.ugnas.com/#/detail/eyJjb2RlIjogIjImJjc5OSIsICJjbGllbnRUeXBlIjogIiJ9"
"631","How to Sync Data Between UGREEN NAS and Aliyun Drive","Application Guide > Cloud Drives > How to Sync Data Between UGREEN NAS and Aliyun Drive","With ""Cloud Drives"", you can easily connect to Aliyun Drive for fast file uploads and downloads. This is especially useful for data migration, backup, and when replacing your UGREEN NAS device. This g...","https://support.ugnas.com/#/detail/eyJjb2RlIjogIjImJjYzMSIsICJjbGllbnRUeXBlIjogIiJ9"
"613","How to Sync Data Between UGREEN NAS and Google Drive?","Application Guide > Cloud Drives > How to Sync Data Between UGREEN NAS and Google Drive?","With the cloud drive tool, you can easily connect to Google Drive for quick file uploads and downloads. This is particularly helpful for data migration, backups, and when replacing your UGREEN NAS dev...","https://support.ugnas.com/#/detail/eyJjb2RlIjogIjImJjYxMyIsICJjbGllbnRUeXBlIjogIiJ9"
"645","How to Upload and Download Files Between UGREEN NAS and 115 Drive","Application Guide > Cloud Drives > How to Upload and Download Files Between UGREEN NAS and 115 Drive","With ""Cloud Drives"", you can easily connect to 115 Drive for fast file uploads and downloads. This is especially useful for data migration, backup, and when replacing your UGREEN NAS device. This guid...","https://support.ugnas.com/#/detail/eyJjb2RlIjogIjImJjY0NSIsICJjbGllbnRUeXBlIjogIiJ9"
"705","How to Upload and Download Files Between UGREEN NAS and Quark Drive?","Application Guide > Cloud Drives > How to Upload and Download Files Between UGREEN NAS and Quark Drive?","With the ""Cloud Drives"", you can easily connect to Quark Drive for fast file uploads and downloads. This article explains how to connect Quark Drive and transfer data between the UGOS Pro system and Q...","https://support.ugnas.com/#/detail/eyJjb2RlIjogIjImJjcwNSIsICJjbGllbnRUeXBlIjogIiJ9"
"479","How to use the Cloud Drives to achieve two-way data synchronization between UGREEN NAS and OneDrive?","Application Guide > Cloud Drives > How to use the Cloud Drives to achieve two-way data synchronization between UGREEN NAS and OneDrive?","In order to better protect data security, we want to synchronise a copy of the data or running services on the UGREEN NAS to a third-party cloud drive, so that if files are lost on the local NAS, the ...","https://support.ugnas.com/#/detail/eyJjb2RlIjogIjImJjQ3OSIsICJjbGllbnRUeXBlIjogIiJ9"
"478","What is the Role of the Polling Period in Cloud Drives Tools?","Application Guide > Cloud Drives > What is the Role of the Polling Period in Cloud Drives Tools?","What is the Polling Period?The Polling Period refers to how frequently the UGREEN NAS Cloud Drive tool polls the public cloud (such as Baidu Netdisk) for changes and synchronizes them to the local NAS...","https://support.ugnas.com/#/detail/eyJjb2RlIjogIjImJjQ3OCIsICJjbGllbnRUeXBlIjogIiJ9"
"798","Why Does the NAS Still Report ""Insufficient volume capacity"" When Uploading file to Drive After Expanding Cloud Storage?","Application Guide > Cloud Drives > Why Does the NAS Still Report ""Insufficient volume capacity"" When Uploading file to Drive After Expanding Cloud Storage?","Problem DescriptionWhen uploading files from the NAS to a cloud drive, the upload fails and the system displays the message ""Insufficient volume capacity"". After the user logs in to the cloud drive an...","https://support.ugnas.com/#/detail/eyJjb2RlIjogIjImJjc5OCIsICJjbGllbnRUeXBlIjogIiJ9"
"470","【FAQ】How to upload and download files between UGREEN NAS and Baidu Netdisk?","Application Guide > Cloud Drives > 【FAQ】How to upload and download files between UGREEN NAS and Baidu Netdisk?","In the UGREEN NAS's UGOS Pro system, the Netdisk tools can easily connect the UGREEN NAS to Baidu Netdisk to enable fast uploads and downloads of files. This is especially helpful for data migration, ...","https://support.ugnas.com/#/detail/eyJjb2RlIjogIjImJjQ3MCIsICJjbGllbnRUeXBlIjogIiJ9"
"768","Comics","Application Guide > Comics > Comics","Applicable Version: UGOS Pro 1.11.0.0002 and above.Screenshots and interfaces in this document are for reference only. Actual displays may vary depending on system or application version. Some feature...","https://support.ugnas.com/#/detail/eyJjb2RlIjogIjImJjc2OCIsICJjbGllbnRUeXBlIjogIiJ9"
"820","Reading Settings","Application Guide > Comics > Reading Settings","You can adjust the comic display and controls according to your reading preferences.How to Access the Reading Settings PageMethod 1: Via ""Personal""1. Open the ""Comics"" app and tap ""Personal"" in the bo...","https://support.ugnas.com/#/detail/eyJjb2RlIjogIjImJjgyMCIsICJjbGllbnRUeXBlIjogIiJ9"
